Title,url,Question,Answer,Correct Answer
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,Câu 1: Điện thoại thông minh khác với điện thoại thường ở điểm nào? ,"['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,Câu 2: Định nghĩa nào về Byte là đúng? ,"['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,Câu 3: Trên điện thoại thông minh có các nút bấm nào? ,"['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,Câu 4: Chọn câu đúng trong các câu sau ,"['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,Câu 5: Mã hoá thông tin có mục đích gì? ,"['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,Câu 6: Chọn câu đúng trong các câu dưới đây? ,"['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,Câu 7: Tin học và máy tính là cơ sở của sự ra đời và phát triển của yếu tố nào? ,"['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,Câu 8: Cách mạng công nghiệp 4.0 bắt đầu diễn ra vào lúc nào? ,"['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,Câu 9: Quốc hội đã ban hành một số điều luật Công nghệ thông tin có hiệu lực từ năm nào? ,"['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,Câu 10: Tác dụng của việc phân loại dữ liệu là gì? ,"['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,Câu 11: Tập truyện tranh quen thuộc với nhiều bạn nhỏ “Đô - rê - mon” cho em dạng thông tin gì? ,"['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,"Câu 12: Trong chương trình THPT, các kiểu dữ liệu nào được đề cập? ","['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,Câu 13: Phép cộng trong hệ nhị phân được thực hiện như thế nào? ,"['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,"Câu 14: Như em đã biết một bít nhận một trong hai giá trị tương ứng với hai kí hiệu 0 và 1. Như vậy, dùng một bít ta có thể biểu diễn trạng thái của một bóng đèn: đèn tắt là 0, đèn sáng là 1. Nếu có 4 bóng đèn để cạnh nhau hai bóng đèn đầu sáng, hai bóng đèn sau tắt thì dãy nhị phân được biểu diễn trong máy tính là ","['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,Câu 15: Dãy bit nào dưới đây là biểu diễn nhị phân của số “3” trong hệ thập phân? ,"['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,Câu 16: Phép cộng trong hệ nhị phân được thực hiện như thế nào? ,"['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,"Câu 17: Như em đã biết một bít nhận một trong hai giá trị tương ứng với hai kí hiệu 0 và 1. Như vậy, dùng một bít ta có thể biểu diễn trạng thái của một bóng đèn: đèn tắt là 0, đèn sáng là 1. Nếu có 4 bóng đèn để cạnh nhau hai bóng đèn đầu sáng, hai bóng đèn sau tắt thì dãy nhị phân được biểu diễn trong máy tính là ","['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,Câu 18: Các đại lượng lôgic có thể nhận các giá trị nào sau đây? ,"['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,Câu 19: Tìm mệnh đề sai trong các mệnh đề sau ,"['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
Trắc nghiệm Tin học 10 kết nối tri thức kì I,https://tech12h.com/bai-hoc/trac-nghiem-tin-hoc-10-ket-noi-tri-thuc-ki-i.html,"Câu 20: Trong một biểu thức lôgic, phép nào được thực hiện trước tiên? ","['A. 0 1 2 3 4 5.', 'B. 1 2 3 4 5.', 'C. 0 1 2 3 4.', 'D. 1 2 3 4.']",['C. 0 1 2 3 4.']
